researcher,title,authors,value of cited by,year
Patrick Lambert,IRIM at TRECVid 2015: semantic indexing,"H Le Borgne, P Gosselin, D Picard, M Redi, B Mérialdo, B Mansencal, ...",4,2015
Patrick Lambert,Points d'intérêt spatio-temporels pour la détection de mouvements dans les vidéos,"A Simac-Lejeune, M Rombaut, P Lambert",4,2010
Patrick Lambert,Tackling action-based video abstraction of animated movies for video browsing,"B Ionescu, L Ott, P Lambert, D Coquin, A Pacureanu, V Buzuloiu",4,2010
Patrick Lambert,An Approach to Scene Detection in Animation Movies and its Applications,"B Ionescu, D Coquin, P Lambert, V Buzuloiu",4,2005
Patrick Lambert,Segmentation automatique des images couleur à base d'indicateurs de performance,"N Bouloudani, P Lambert, D Coquin",4,2003
Patrick Lambert,Simplification of a color image segmentation using a fuzzy attributed graph,"H Grecu, P Lambert",4,2000
Patrick Lambert,Représentation floue et graphe d'adjacence pour la simplification d'images segmentées: Application à l'Indexation,"H Grecu, P Lambert",4,1999
Patrick Lambert,The characterization of new austenitic stainless steels highly resistant to cavitation-erosion,"G L'Esperance, M Simoneau, P Lambert, JI Dickson, R Simoneau",4,1990
Patrick Lambert,Semi-supervised Spectral Clustering with automatic propagation of pairwise constraints,"N Voiron, A Benoit, A Filip, P Lambert, B Ionescu",3,2015
Patrick Lambert,A Fisher Kernel Approach for Multiple Instance Based Object Retrieval in Video Surveillance,"I MIRONICĂ, CA MITREA, B Ionescu, P Lambert",3,2015
Patrick Lambert,Bags of Trajectory Words for video indexing,"ST Strat, A Benoit, P Lambert",3,2014
Patrick Lambert,Intensity-driven dissolve detection adapted to synthetic video contents,"B Ionescu, P Lambert",3,2013
Patrick Lambert,Automatic difference measure between movies using dissimilarity measure fusion and rank correlation coefficients,"N Voiron, A Benoit, P Lambert",3,2012
Patrick Lambert,Reconnaissance de gestes dynamiques de la main,"B Ionescu, D Coquin, P Lambert",3,2003
Patrick Lambert,Entrelacement de bits et Space Filling Curves: une extension des filtres de rang aux images couleur,"J CHANUSSOT, P LAMBERT",3,1997
Patrick Lambert,"Deep learning for astrophysics, understanding the impact of attention on variability induced by parameter initialization","M Jacquemont, T Vuillaume, A Benoit, G Maurin, P Lambert",2,2021
Patrick Lambert,Deep learning for semantic segmentation,"A Benoit, B Ghattas, E Amri, J Fournel, P Lambert",2,2021
Patrick Lambert,Generative Adversarial Network (GAN) for remote sensing images unsupervised learning,"AB Hamida, A Benoit, P Lambert, CB Amar",2,2018
Patrick Lambert,Classification of animated video genre using color and temporal information,"B Ionescu, P Lambert",2,2013
Patrick Lambert,Enhancement of multi-valued images using PDE coupling,"S Bettahar, AB Stambouli, P Lambert, A Benoit",2,2011
Patrick Lambert,"Classifying documentary, music, news and animated genres with temporal, color and contour information","B Ionescu, C Rasche, L Florea, C Vertan, P Lambert",2,2011
Patrick Lambert,Numerical scheme for efficient colour image denoising,"S Bettahar, AB Stambouli, P Lambert",2,2011
Patrick Lambert,Similarity measurement for animation movies,"A Benoit, M Ciobotaru, P Lambert, B Ionescu",2,2011
Patrick Lambert,Animated movie activity characterization by image and text information fusion,"G Pais, F Deloule, D Beauchêne, P Lambert",2,2009
Patrick Lambert,Fast color image segmentation using fuzzy clustering,"P Lambert, H Grecu",2,2002
Patrick Lambert,A software instrument using fuzzy techniques for sausage quality evaluation,"G Mauris, N Perrot, P Lambert, JR Philippe",2,2000
